Sr No,Payer,Dealer Name,Product,Invoice No,Invoice Date,Invoice Amount,Discounting Date,RM/ASE/ASM,Region,Rec, Gross Collection , Balance O/s ,Collection Date,Due Date,Usance till Collection Days,Discounting Tenure,Rate,Disc Chrges for Discouting Tenure,Early Collection Days,Collection Incentive on Amount Received,Net Amount Received
1,31E2080,MALIK CARS PVT LTD,PVBU11,911716135,23 Mar 17," 5,32,331 ",23-Mar-17,Ankit Dhurka,SOUTH,Rec," 5,32,331 ", -   ,5-May-17,21-Jul-17, 43 , 120 ,10.75%,"18,813.88", 77 ," 12,072.24 "," 5,20,258.57 "
2,31E3090,OM SAI CARS INDIA PVT LTD,PVBU11,959964481,30 Jan 17," 11,94,742 ",23-Mar-17,Ankit Dhurka,South,Rec," 11,94,742 ", -   ,28-Aug-17,21-Jul-17, 158 , 120 ,10.75%,"42,225.11", (38)," (13,371.29)"," 12,08,112.84 "
3,31E3630,HUNDEKARI MOTORS PVT LTD,PVBU11,984446862,24 Dec 16," 4,68,509 ",23-Mar-17,Himanshu Sood,WEST,Rec," 4,68,509 ", -   ,25-Sep-17,21-Jul-17, 186 , 120 ,10.75%,"16,558.26", (66)," (9,107.04)"," 4,77,615.88 "
4,31E3630,HUNDEKARI MOTORS PVT LTD,PVBU11,718113425,27 Dec 16," 4,68,509 ",23-Mar-17,Himanshu Sood,WEST,Rec," 4,68,509 ", -   ,25-Sep-17,21-Jul-17, 186 , 120 ,10.75%,"16,558.26", (66)," (9,107.04)"," 4,77,615.88 "
5,31E3630,HUNDEKARI MOTORS PVT LTD,PVBU11,984447138,31 Dec 16," 5,31,861 ",23-Mar-17,Himanshu Sood,WEST,Rec," 5,31,861 ", -   ,26-Sep-17,21-Jul-17, 187 , 120 ,10.75%,"18,797.29", (67)," (10,495.15)"," 5,42,356.45 "
6,31E8680,SRI KODURI AUTOMOBILES,PVBU11,911710953,25 Jan 17," 6,07,927 ",23-Mar-17,Ankit Dhurka,SOUTH,Rec," 6,07,927 ", -   ,10-Apr-17,21-Jul-17, 18 , 120 ,10.75%,"21,485.64", 102 ," 18,262.79 "," 5,89,664.24 "
7,31E8680,SRI KODURI AUTOMOBILES,PVBU11,911710955,25 Jan 17," 6,05,199 ",23-Mar-17,Ankit Dhurka,SOUTH,Rec," 6,05,199 ", -   ,10-Apr-17,21-Jul-17, 18 , 120 ,10.75%,"21,389.21", 102 ," 18,180.83 "," 5,87,017.70 "
8,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576589,28 Feb 17," 6,72,244 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 6,72,244 ", -   ,18-Sep-17,21-Jul-17, 179 , 120 ,10.75%,"23,758.77", (59)," (11,681.39)"," 6,83,925.52 "
9,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576672,18 Mar 17," 4,57,397 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,57,397 ", -   ,18-Sep-17,21-Jul-17, 179 , 120 ,10.75%,"16,165.53", (59)," (7,948.05)"," 4,65,344.85 "
10,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125225,31 Dec 16," 5,55,455 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,55,455 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"19,631.16", (61)," (9,979.17)"," 5,65,434.40 "
